iter	Passed	Remaining
904	61144	40199
905	61206	40128
906	61270	40059
907	61327	39984
908	61405	39923
909	61487	39865
910	61575	39811
911	61647	39746
912	61720	39682
913	61794	39618
914	61853	39545
915	61930	39484
916	61993	39413
917	62059	39345
918	62140	39285
919	62211	39220
920	62293	39161
921	62354	39090
922	62414	39017
923	62476	38946
924	62540	38876
925	62603	38805
926	62669	38737
927	62741	38672
928	62836	38621
929	62899	38551
930	62963	38481
931	63027	38411
932	63107	38351
933	63181	38287
934	63255	38223
935	63329	38159
936	63403	38096
937	63464	38024
938	63524	37952
939	63588	37882
940	63648	37810
941	63710	37739
942	63775	37670
943	63865	37615
944	63925	37543
945	63987	37472
946	64050	37402
947	64113	37332
948	64174	37260
949	64235	37189
950	64300	37119
951	64386	37062
952	64461	36999
953	64555	36946
954	64642	36890
955	64704	36819
956	64763	36746
957	64829	36678
958	64889	36606
959	64956	36538
960	65016	36465
961	65076	36393
962	65135	36321
963	65197	36250
964	65260	36180
965	65349	36124
966	65447	36073
967	65535	36017
968	65607	35952
969	65696	35896
970	65770	35831
971	65834	35761
972	65897	35691
973	65961	35621
974	66018	35548
975	66075	35474
976	66145	35408
977	66208	35338
978	66284	35274
979	66345	35203
980	66409	35133
981	66490	35073
982	66572	35013
983	66675	34963
984	66768	34909
985	66846	34846
986	66902	34773
987	66964	34702
988	67038	34637
989	67108	34571
990	67181	34506
991	67243	34434
992	67316	34370
993	67394	34307
994	67483	34250
995	67576	34195
996	67664	34137
997	67739	34073
998	67801	34002
999	67865	33932
1000	67945	33870
1001	68013	33803
1002	68082	33735
1003	68180	33682
1004	68263	33622
1005	68338	33558
1006	68403	33488
1007	68462	33416
1008	68522	33344
1009	68585	33274
1010	68646	33203
1011	68709	33132
1012	68788	33070
1013	68855	33001
1014	68939	32941
1015	69021	32880
1016	69092	32813
1017	69160	32745
1018	69242	32684
1019	69311	32617
1020	69388	32553
1021	69468	32491
1022	69532	32421
1023	69589	32348
1024	69655	32279
1025	69719	32209
1026	69779	32138
1027	69839	32066
1028	69901	31995
1029	69962	31924
1030	70025	31854
1031	70087	31784
1032	70149	31713
1033	70213	31643
1034	70274	31572
1035	70336	31501
1036	70399	31431
1037	70459	31360
1038	70522	31290
1039	70594	31224
1040	70660	31155
1041	70718	31083
1042	70784	31014
1043	70843	30943
1044	70923	30880
1045	70985	30809
1046	71046	30739
1047	71108	30668
1048	71167	30597
1049	71230	30527
1050	71296	30458
1051	71354	30386
1052	71417	30316
1053	71481	30247
1054	71542	30176
1055	71605	30106
1056	71665	30035
1057	71727	29965
1058	71794	29897
1059	71877	29836
1060	71944	29767
1061	72005	29697
1062	72066	29626
1063	72125	29554
1064	72184	29483
1065	72242	29411
1066	72311	29344
1067	72373	29274
1068	72442	29207
1069	72520	29143
1070	72596	29079
1071	72674	29015
1072	72765	28957
1073	72839	28891
1074	72903	28822
1075	72981	28758
1076	73072	28699
1077	73262	28679
1078	73362	28624
1079	73452	28564
1080	73583	28521
1081	73669	28460
1082	73814	28421
1083	73955	28381
1084	74069	28330
1085	74176	28277
1086	74266	28217
1087	74376	28164
1088	74494	28115
1089	74585	28054
1090	74668	27992
1091	74752	27929
1092	74883	27884
1093	74997	27832
1094	75076	27768
1095	75162	27705
1096	75237	27639
1097	75318	27575
1098	75414	27516
1099	75504	27456
1100	75587	27392
1101	75672	27329
1102	75756	27266
1103	75830	27199
1104	75901	27132
1105	76014	27079
1106	76097	27015
1107	76177	26950
1108	76264	26888
1109	76384	26837
1110	76477	26777
1111	76568	26716
1112	76644	26649
1113	76733	26588
1114	76820	26525
1115	76911	26464
1116	76995	26400
1117	77076	26335
1118	77176	26277
1119	77252	26210
1120	77335	26146
1121	77408	26078
1122	77492	26014
1123	77590	25955
1124	77667	25889
1125	77745	25823
1126	77820	25756
1127	77887	25686
1128	77962	25619
1129	78040	25553
1130	78130	25490
1131	78208	25424
1132	78284	25357
1133	78376	25296
1134	78462	25232
1135	78534	25164
1136	78608	25096
1137	78684	25029
1138	78786	24970
1139	78855	24901
1140	78920	24831
1141	78995	24763
1142	79069	24696
1143	79149	24630
1144	79226	24563
1145	79302	24496
1146	79384	24431
1147	79460	24364
1148	79538	24297
1149	79628	24234
1150	79709	24168
1151	79785	24101
1152	79871	24037
1153	79941	23968
1154	80017	23901
1155	80110	23839
1156	80210	23779
1157	80285	23711
1158	80375	23648
1159	80459	23582
1160	80529	23513
1161	80602	23445
1162	80676	23377
1163	80749	23309
1164	80830	23242
1165	80902	23174
1166	80984	23108
1167	81063	23041
1168	81137	22973
1169	81214	22906
1170	81287	22838
1171	81351	22767
1172	81439	22703
1173	81526	22638
1174	81603	22571
1175	81677	22503
1176	81755	22435
1177	81845	22372
1178	81925	22305
1179	82000	22237
1180	82074	22169
1181	82151	22101
1182	82218	22031
1183	82290	21962
1184	82356	21892
1185	82437	21825
1186	82514	21758
1187	82592	21690
1188	82667	21622
1189	82747	21556
1190	82845	21493
1191	82911	21423
1192	82976	21352
1193	83055	21285
1194	83117	21214
1195	83195	21146
1196	83273	21079
1197	83346	21010
1198	83410	20939
1199	83487	20871
1200	83548	20800
1201	83627	20732
1202	83701	20664
1203	83761	20592
1204	83854	20528
1205	83918	20457
1206	83976	20385
1207	84065	20320
1208	84136	20251
1209	84199	20179
1210	84259	20108
1211	84322	20037
1212	84384	19965
1213	84448	19894
1214	84511	19823
1215	84587	19755
1216	84648	19684
1217	84712	19613
1218	84777	19542
1219	84848	19473
1220	84915	19403
1221	84992	19335
1222	85053	19263
1223	85121	19194
1224	85197	19125
1225	85271	19057
1226	85346	18989
1227	85412	18918
1228	85507	18854
1229	85578	18785
1230	85648	18715
1231	85721	18647
1232	85797	18578
1233	85857	18507
1234	85939	18440
1235	86016	18372
1236	86079	18301
1237	86154	18232
1238	86228	18164
1239	86296	18094
1240	86370	18025
1241	86433	17954
1242	86501	17884
1243	86573	17815
1244	86666	17751
1245	86729	17679
1246	86807	17612
1247	86883	17543
1248	86951	17473
1249	87024	17404
1250	87089	17334
1251	87167	17266
1252	87243	17198
1253	87307	17127
1254	87367	17055
1255	87446	16987
1256	87525	16920
1257	87588	16849
1258	87663	16780
1259	87725	16709
1260	87790	16639
1261	87863	16570
1262	87925	16499
1263	88003	16431
1264	88085	16363
1265	88158	16294
1266	88228	16225
1267	88296	16155
1268	88358	16084
1269	88421	16013
1270	88500	15945
1271	88562	15874
1272	88625	15803
1273	88703	15735
1274	88795	15669
1275	88859	15599
1276	88933	15530
1277	89000	15460
1278	89075	15391
1279	89153	15323
1280	89215	15252
1281	89280	15181
1282	89356	15113
1283	89418	15042
1284	89479	14971
1285	89543	14900
1286	89617	14831
1287	89680	14761
1288	89748	14691
1289	89819	14621
1290	89880	14550
1291	89948	14480
1292	90024	14412
1293	90097	14343
1294	90165	14273
1295	90226	14202
1296	90301	14133
1297	90379	14065
1298	90443	13994
1299	90506	13924
1300	90571	13853
1301	90646	13784
1302	90721	13716
1303	90801	13648
1304	90865	13577
1305	90925	13506
1306	91003	13438
1307	91065	13367
1308	91128	13296
1309	91189	13225
1310	91251	13155
1311	91324	13086
1312	91401	13017
1313	91475	12948
1314	91551	12879
1315	91625	12810
1316	91688	12740
1317	91748	12669
1318	91812	12598
